epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.263,1.33569,5.01135,1.04137,0.01526,0.40046,0.01836,0.01443,0.86879,3.372,0.87051,5.94637e-05,5.94637e-05,5.94637e-05
2,654.91,0.94835,3.61774,0.89223,0.09026,0.2162,0.0868,0.07169,0.69073,2.66904,0.85487,0.000116772,0.000116772,0.000116772
3,730.672,0.84562,2.9669,0.88145,0.22971,0.49184,0.26609,0.22138,0.67336,2.05291,0.85023,0.000171717,0.000171717,0.000171717
4,809.33,0.78875,2.51093,0.87157,0.3235,0.61991,0.42116,0.35807,0.60647,1.77265,0.8357,0.000168367,0.000168367,0.000168367
5,887.121,0.74634,2.19703,0.86528,0.45882,0.65048,0.57552,0.4954,0.5774,1.49457,0.82865,0.000164823,0.000164823,0.000164823
6,967.461,0.72484,1.96563,0.86091,0.52593,0.73041,0.68479,0.5928,0.56486,1.27439,0.82601,0.000161279,0.000161279,0.000161279
7,1047.41,0.70758,1.76678,0.85554,0.65288,0.78558,0.78217,0.67592,0.56206,1.08045,0.82234,0.000157735,0.000157735,0.000157735
8,1125.96,0.68181,1.60106,0.84928,0.70114,0.81666,0.81517,0.71112,0.54724,1.00819,0.82229,0.000154191,0.000154191,0.000154191
9,1201.22,0.66647,1.46759,0.84743,0.7741,0.85611,0.86801,0.76434,0.52251,0.86684,0.8177,0.000150646,0.000150646,0.000150646
10,1276.32,0.65885,1.35651,0.84652,0.77565,0.86682,0.87303,0.77136,0.51411,0.81707,0.81717,0.000147102,0.000147102,0.000147102
11,1353.92,0.64582,1.25983,0.84246,0.81046,0.89463,0.89699,0.79354,0.51579,0.74639,0.81711,0.000143558,0.000143558,0.000143558
12,1433.13,0.63468,1.19002,0.84308,0.81113,0.87817,0.89794,0.79748,0.50704,0.76275,0.81509,0.000140014,0.000140014,0.000140014
13,1512.3,0.6309,1.1409,0.84172,0.85733,0.90536,0.93354,0.83161,0.49787,0.66352,0.81464,0.00013647,0.00013647,0.00013647
14,1591.03,0.61839,1.08504,0.83958,0.8489,0.91985,0.92869,0.82691,0.49613,0.64386,0.81318,0.000132925,0.000132925,0.000132925
15,1670.03,0.61607,1.0358,0.8376,0.86296,0.92932,0.9374,0.83512,0.49761,0.62627,0.81365,0.000129381,0.000129381,0.000129381
16,1749.3,0.60888,0.99542,0.83769,0.87089,0.93542,0.94894,0.83602,0.52789,0.60452,0.81937,0.000125837,0.000125837,0.000125837
17,1828.88,0.59997,0.97301,0.83593,0.89169,0.91968,0.95201,0.84831,0.49776,0.59044,0.8154,0.000122293,0.000122293,0.000122293
18,1908.55,0.59652,0.93276,0.83519,0.89653,0.94198,0.95906,0.86047,0.48112,0.55029,0.81184,0.000118749,0.000118749,0.000118749
19,1987.95,0.5904,0.90556,0.8342,0.90361,0.9408,0.96094,0.8624,0.48046,0.53677,0.81209,0.000115204,0.000115204,0.000115204
20,2067.25,0.58423,0.87535,0.83271,0.91151,0.94182,0.96163,0.86509,0.46846,0.52569,0.80864,0.00011166,0.00011166,0.00011166
21,2144.23,0.57643,0.85314,0.83186,0.90241,0.94689,0.96168,0.86609,0.46837,0.52337,0.80897,0.000108116,0.000108116,0.000108116
